Song,Uri,Artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Black and Yellow,5A6OHHy73AR5tLxgTc98zz,Wiz Khalifa,0.684,0.834,2,-4.524,0,0.0675,0.0646,0.0,0.271,0.538,164.02
Holiday (feat. Akon) - DJ Antoine vs Mad Mark 2k15 Club Mix,7hqTqI883aj62BNSnQzmnH,DJ Antoine,0.734,0.892,1,-4.466,1,0.0423,0.0125,0.00392,0.0409,0.392,125.994
Break Free,7cvxrDu7VIhVSOFRNgPegv,Ariana Grande,0.687,0.698,7,-5.29,0,0.0468,0.0057,8.75e-05,0.253,0.316,129.954
Bitches N Marijuana (feat. ScHoolboy Q),3PiLfzEXHrvT1oJKR8PAJt,Chris Brown,0.559,0.535,3,-8.136,0,0.274,0.337,0.0,0.105,0.62,96.989
Join Me - Razorblade Mix,1ShuJmtDsgCs8GvjsewYxi,HIM,0.625,0.696,8,-6.908,0,0.0325,0.0276,1.53e-05,0.127,0.606,113.809
Girl On Fire,75pZHMj4SHAzJf35kwAAkQ,Alicia Keys,0.482,0.706,9,-5.762,1,0.0609,0.135,0.00106,0.105,0.144,92.494
Move Your Body,43OdYMY7yMgBW3n5W4QQD9,Eiffel 65,0.745,0.958,7,-9.664,1,0.0287,0.0814,0.32,0.533,0.96,129.962
Bad Boy - Radio Edit,4Ei3y7xExqyxy5SV8ko9fn,Cascada,0.666,0.978,11,-5.118,0,0.0925,0.0149,0.0444,0.222,0.63,139.991
Freestyler,47xLbuUdmD03ATrke934S1,Bomfunk MC's,0.822,0.922,11,-5.798,0,0.0989,0.0291,0.325,0.252,0.568,163.826
Boulevard of Broken Dreams,1hwJKpe0BPUsq6UUrwBWTw,Green Day,0.49,0.679,8,-3.68,1,0.0309,0.00394,1.54e-05,0.0383,0.506,167.046
Secrets,0tgnTzjIkj8mVVEh0SNH0t,OneRepublic,0.516,0.762,2,-6.224,1,0.0361,0.0734,0.0,0.116,0.382,148.018
Girl Gone Wild,3ZfMci7n6qk9nRodX8BfIb,Madonna,0.697,0.598,8,-5.883,0,0.0708,0.0331,5.98e-06,0.318,0.606,131.967
Give Me All Your Luvin',0QXtw4rDLQtpzqPS4uJbZJ,Madonna,0.68,0.885,11,-4.345,1,0.0382,0.00563,0.000756,0.379,0.877,144.998
La La La,2iCf3YOXffq3fCZyIwliPR,LMFAO,0.606,0.819,0,-6.554,0,0.128,0.00645,1.15e-06,0.279,0.587,128.028
Beez In The Trap,2epGMZt9GFdH1etwMbQcFm,Nicki Minaj,0.814,0.782,9,-6.005,1,0.218,0.0227,0.00167,0.0956,0.683,150.011
Dressin' Up,7GsYM767NTEiUFjq00tspw,Katy Perry,0.715,0.783,7,-6.146,1,0.0785,0.0201,0.000684,0.104,0.459,141.558
LaserLight,1dG3YWhLiTyFfTJyT2DanJ,Jessie J,0.796,0.784,11,-3.713,1,0.061,0.147,5.27e-06,0.105,0.818,127.507
Rakkaudesta laulu,1qlL4U9ofYv2FMApQUHup9,Maisa,0.551,0.67,9,-8.646,1,0.0288,0.131,0.0,0.145,0.385,121.996
Radioactive,5WkUEAGya6TGeC5U0HDa80,Rita Ora,0.647,0.874,10,-2.057,0,0.0462,0.0187,0.000173,0.27,0.543,125.026
Finally Found You,1i7gybd4iuAm3dSzktiCDN,Enrique Iglesias,0.622,0.884,4,-4.812,1,0.0895,0.0113,0.0,0.349,0.627,127.95
Miracle,2eqKGlnRKjuFdQZUGbScJ9,Hurts,0.395,0.826,2,-2.985,0,0.0348,0.0282,6.39e-06,0.328,0.405,85.004
B-e-a-utiful,2ngP9Hye3TKGTAMQTd7i5c,Megan Nicole,0.358,0.688,0,-4.673,1,0.128,0.184,0.0,0.259,0.714,77.479
"Driving Around (feat. Pitbull, David Rush & Vein)",5gtxA9KghGzVBtWeADNy14,Mr. 305,0.742,0.928,9,-3.613,1,0.052,0.0432,0.0,0.318,0.724,130.003
Ode to the Bouncer,3lGL219tz1Cjy5Zeno5T7m,Studio Killers,0.644,0.975,11,-3.379,1,0.0512,0.0417,0.000316,0.0869,0.868,122.99
Jenny (I Wanna Ruin Our Friendship),7lgA34nFXxjqQgyLkPUcLv,Studio Killers,0.668,0.799,11,-5.701,1,0.0333,0.00305,0.0148,0.277,0.563,133.929
Live It Up,4UXrcA0aP09rQh0eCwn5hx,Jennifer Lopez,0.694,0.723,6,-5.107,1,0.187,0.0156,0.0,0.333,0.653,127.988
Wild,3f2UEozQvFOzeBojmaqnY9,Jessie J,0.78,0.879,11,-5.472,0,0.16,0.00228,8.5e-05,0.17,0.594,129.008
Popular Song,6AviHKu3ydzAePBmzEi62v,MIKA,0.666,0.81,8,-4.574,1,0.0458,0.152,0.0,0.0613,0.811,99.023
How Ya Doin'? (feat. Missy Elliott),0oPDjsyEtvBfescdyJcWYt,Little Mix,0.359,0.95,10,-3.49,0,0.476,0.09,0.0,0.371,0.51,200.617
High School,3UrNOHCzVxX2KZbNcKQAyu,Nicki Minaj,0.531,0.683,1,-4.093,0,0.333,0.135,0.00265,0.22,0.212,84.817
Dancing With Tears In My Eyes,2KCfVhgzNGJWnvZ01W4c4o,Kesha,0.619,0.924,7,-3.208,1,0.0978,0.0103,2.75e-05,0.296,0.642,120.021
Sunshine,56ZDcszhe1eCeghso93fXP,Matisyahu,0.691,0.791,0,-3.747,1,0.0613,0.00654,0.0,0.0729,0.793,100.044
DJ Got Us Fallin' In Love (feat. Pitbull),1SLfor1HGQcQmUfQj0X685,Usher,0.63,0.819,7,-5.629,0,0.131,0.029,0.0,0.084,0.665,119.954
American Girl,0vvG0VEN6l2fbIEUtq3mQD,Bonnie McKee,0.66,0.816,0,-4.332,0,0.0344,0.00976,1.87e-05,0.59,0.66,127.97
Saturnus,3nenYQpz28iHiuS1loQ4Xz,Brädi,0.741,0.79,10,-4.415,1,0.107,0.0835,0.0,0.235,0.412,120.071
Eat Sleep Rave Repeat (feat. Beardyman) - Dimitri Vegas & Like Mike vs. Ummet Ozcan Tomorrowland Radio Edit,666ukYl1jDeTAGg7AwfS5L,Fatboy Slim,0.449,0.898,7,-4.126,1,0.0835,0.0629,0.204,0.146,0.181,129.984
Castle on the Hill,66qlqxhEMpSHOzjRK4il0b,Ed Sheeran,0.461,0.834,2,-4.868,1,0.0989,0.0232,1.14e-05,0.14,0.471,135.007
Loistat Pimeäs,3bCuspxImskpiHF3udYdFI,Mikael Gabriel,0.559,0.767,9,-5.89,0,0.0395,0.00902,0.0,0.232,0.609,135.081
Shape of You,0FE9t6xYkqWXU2ahLh6D8X,Ed Sheeran,0.825,0.652,1,-3.183,0,0.0802,0.581,0.0,0.0931,0.931,95.977
Steady 1234 (feat. Jasmine Thompson & Skizzy Mars),40UroIGvsMPLPBYwH8rMNA,Vice,0.779,0.671,9,-5.829,1,0.0814,0.153,1.12e-05,0.115,0.718,104.953
Believer,4cSR8iebRqGXHFHo7lHIpm,Major Lazer,0.596,0.905,8,-3.438,0,0.0515,0.0743,0.00168,0.129,0.692,144.981
Mixet Tahdo,53nNxpVCDUwblGyAazoSS8,Mäkki,0.849,0.699,1,-6.385,1,0.075,0.232,0.0,0.0498,0.511,104.99
Hear Me Now,1a5Yu5L18qNxVhXx38njON,Alok,0.788,0.43,11,-7.757,1,0.0419,0.537,0.00261,0.0936,0.461,121.996
Paris,15vzANxN8G9wWfwAJLLMCg,The Chainsmokers,0.646,0.644,2,-6.763,1,0.031,0.0243,0.0,0.0888,0.251,99.999
Vidorra,64x57KuX1J4TLrdWjkpdqt,Tungevaag,0.619,0.765,9,-7.424,0,0.0306,0.0324,0.000254,0.248,0.754,127.998
Springfield,0njrmvVVWIrcEXkUA4MOO7,Tungevaag,0.754,0.838,6,-2.98,0,0.0647,0.00634,0.0,0.0644,0.118,127.983
Habits (Stay High) - Oliver Nelson Remix,45Hsbni3CutyzdVm7QO9F2,Tove Lo,0.78,0.785,0,-4.3,0,0.0746,0.0346,0.0127,0.157,0.49,116.007
Your Love Is My Drug,3uoQULcUWfnt6nc6J7Vgai,Kesha,0.829,0.627,1,-3.928,1,0.0759,0.00663,0.0,0.0939,0.72,120.048
Where Them Girls At (feat. Nicki Minaj & Flo Rida),7xV6oF0LMnrXKEs6JrWQXf,David Guetta,0.666,0.876,3,-3.078,1,0.0414,0.055,0.0,0.259,0.552,129.884
Whatcha Say,123NAAjn1RMY2WeoZH8pVN,Jason Derulo,0.615,0.711,11,-5.507,1,0.0779,0.0444,0.0,0.145,0.711,144.036
What Makes You Beautiful,4cluDES4hQEUhmXj6TXkSo,One Direction,0.726,0.787,4,-2.494,1,0.0737,0.009,0.0,0.0596,0.888,124.99
Viimeinen,661cekUlECjO5CHlcnwgI3,Nylon Beat,0.619,0.854,6,-5.42,1,0.0293,0.0119,0.111,0.112,0.518,97.914
Tytöt Tykkää,6sXwvkik0sHXxUgwPviuF9,Tea,0.975,0.722,9,-4.597,0,0.1,0.163,0.0,0.0608,0.909,125.049
The Sweet Escape,26eOTllWPn7oKuDUJnsJwF,Gwen Stefani,0.756,0.77,1,-3.502,1,0.0343,0.191,0.0,0.178,0.73,119.961
Sugar (feat. Wynter),4shgvM4ClrZeDiflNJwlGd,Flo Rida,0.738,0.868,1,-4.15,1,0.0348,0.0371,0.0,0.294,0.199,130.003
Snap Yo Fingers,6o3s08kk2fQI37vxGZDrJ1,Lil Jon,0.835,0.757,8,-5.029,0,0.23,0.00647,0.0,0.29,0.626,82.038
Smooth Criminal - 2012 Remaster,5T7ywazdGIydr6JCW6t02j,Michael Jackson,0.853,0.981,8,-3.947,1,0.0751,0.247,0.468,0.306,0.595,118.193
SexyBack,40VAYnnGBDLQVXD8D1ager,Justin Timberlake,0.967,0.583,7,-5.562,0,0.0789,0.0584,0.0,0.0519,0.964,117.0
Rusketusraidat,1CWByPTazwEnqfeC9FfdxA,PMMP,0.709,0.855,9,-4.408,0,0.0544,0.0624,0.00156,0.0357,0.902,130.059
Salaisuudet,0ricCMwmnkaDwkQHGtHD2u,TUULI,0.701,0.814,3,-4.751,1,0.0276,0.0689,0.0,0.367,0.769,105.023
Rakkauden haudalla,6kj92vwOVwBAxhpkiSQJE7,Jonna Tervomaa,0.289,0.571,5,-8.432,0,0.0273,0.255,0.000125,0.304,0.262,91.152
Rehab,19z17doSqEhhm4aidrUHIB,Amy Winehouse,0.42,0.873,0,-2.963,1,0.0685,0.0408,2.17e-06,0.568,0.728,72.858
Puuttuva palanen,4hc2EO30jDRhSwBww2MI9Z,Robin Packalen,0.835,0.86,11,-5.231,0,0.0302,0.0453,6.25e-06,0.168,0.882,117.991
Pomppufiilis,7JbVytcMOu6JT5KcWzSgQh,Munamies,0.732,0.869,0,-4.561,1,0.0698,0.275,0.0,0.314,0.962,118.056
Poika (saunoo),7bF4r9iNGX0HxJnuHn3p20,Poju,0.655,0.987,6,-3.917,0,0.0562,0.123,0.0,0.0471,0.961,120.005
Party Rock Anthem,7mitXLIMCflkhZiD34uEQI,LMFAO,0.751,0.736,5,-4.168,0,0.156,0.0206,0.0,0.265,0.352,130.014
Piece of Me,6jaHYV4no6PAbyo89bybrx,Britney Spears,0.769,0.638,11,-5.054,1,0.216,0.0902,0.0,0.0857,0.782,115.007
Paper Planes,3ZlFUr0RBrUYYsmlcFvD0e,M.I.A.,0.447,0.848,2,-6.175,1,0.222,0.033,7.46e-05,0.65,0.485,172.253
One Time,13FpJLiYO9coo9pf5QkrTn,Justin Bieber,0.704,0.82,1,-2.535,0,0.037,0.0821,8.72e-05,0.0776,0.774,146.008
Paparazzi,0DBIWikYnzcWygmvnG9kl5,Lady Gaga,0.761,0.696,5,-3.975,0,0.0429,0.109,0.0,0.0979,0.408,114.919
Normipäivä (feat. Hank Solo),5nAxadmtaiTIPA9VGtaYm6,Aste,0.666,0.82,10,-2.151,0,0.184,0.15,0.0,0.119,0.684,127.078
New Way Home,5qsQv37yDVUDCDLPSTrIrk,Isac Elliot,0.566,0.738,1,-7.728,0,0.0676,0.00311,0.0,0.117,0.519,126.056
Märkää,52CqocATRRxDJmcc5owMOh,Petri Nygård,0.903,0.864,1,-3.763,1,0.0358,0.0212,0.0,0.511,0.961,120.06
Mikä boogie,0TIgM6L2db1fqqgdB8clhI,Fintelligens,0.908,0.704,6,-2.182,0,0.164,0.0304,0.0,0.0661,0.86,112.991
Mercy,78twQ5XCFJMTE37ZSU0gsj,Duffy,0.793,0.859,0,-3.774,1,0.0332,0.266,0.000356,0.133,0.964,129.911
Matkalaulu,5HCJ6vOnpuQSZR6RmjnorK,PMMP,0.533,0.837,4,-6.298,1,0.0373,0.136,0.00139,0.298,0.594,146.923
Lämpöö,17te2wP80lWKpQdOexK7vN,Brädi,0.757,0.848,3,-4.383,1,0.196,0.124,0.0,0.0676,0.699,94.98
Kiss Me Thru The Phone,0nDqJMKcSTtYlGK6OQ3sLC,Soulja Boy,0.757,0.721,7,-3.757,1,0.0986,0.0158,0.0,0.144,0.807,149.984
Lanit (Masa & Teurastaja) - Bonus,5AgZviogOxQeiadhGJyjKX,Justimus,0.705,0.634,4,-4.933,0,0.249,0.00214,0.0041,0.386,0.416,179.754
Juuret,6ZwtCsPc7OilD2Y43QT0ix,Antti Tuisku,0.688,0.83,2,-6.941,0,0.0291,0.109,0.0971,0.107,0.339,123.006
Jos mä oisin sä,3eT0L7188RWFI9t6bTBP5o,Cheek,0.828,0.877,2,-4.328,0,0.0476,0.0253,0.0,0.0844,0.631,110.023
Jossu - feat. Jukka poika,3fO3kI1iGC0A5zeRePsIiG,Cheek,0.655,0.831,2,-6.767,1,0.175,0.0888,0.0,0.358,0.881,199.793
Ihmisten edessä,78jY6qGQtZAM7E5W7APoNg,Jenni Vartiainen,0.677,0.803,1,-4.978,0,0.0343,0.0202,0.0,0.11,0.723,123.006
Heilutaan,0gKbjJEZWuOpap7zdy2I7f,Tiktak,0.588,0.862,5,-5.741,1,0.0304,0.00883,0.0,0.0844,0.819,160.028
Girls Just Want to Have Fun,459EpH5UZgE6fMNPMLOgMF,Cyndi Lauper,0.711,0.8,6,-4.883,1,0.0327,0.219,0.00102,0.354,0.726,120.393
Frontside Ollie,4SQ7dVxDchOsmZSXRFIMzM,Robin Packalen,0.655,0.879,11,-5.363,1,0.0315,0.0033,0.0,0.881,0.71,100.033
Fire Burning,7gDKfEMIhyyO4asgEXwcrs,Sean Kingston,0.835,0.805,1,-2.545,1,0.033,0.0166,0.0,0.345,0.891,122.98
Candy Shop,2mpFm3f7QmdsVtSAIICEB7,50 Cent,0.609,0.588,7,-7.992,1,0.481,0.0305,0.000142,0.369,0.797,128.763
Barbie Girl,2ZCTP54O2dMSbVrdsg60to,Aqua,0.764,0.948,1,-4.355,0,0.0402,0.00929,0.0773,0.416,0.911,129.967
Are You Ready,3nx1CHOZvY83zuFmWxoRl0,ABREU,0.707,0.849,11,-5.172,0,0.0954,0.0968,0.0,0.161,0.859,96.023
American Idiot,6nTiIhLmQ3FWhvrGafw2zj,Green Day,0.38,0.988,1,-2.042,1,0.0639,2.64e-05,7.86e-05,0.368,0.769,186.113
Räjäytä mun mieli,6skVPzERO0JKzamotX3NVa,ABREU,0.697,0.771,8,-5.092,0,0.0568,0.022,0.0,0.128,0.652,106.028
Kaikki paljaana (feat. Mikael Gabriel),2ZHFxl8w3D3dkbUWNnifsu,ABREU,0.607,0.428,5,-10.094,1,0.0468,0.459,0.0,0.255,0.509,79.888
Kaikki mussa rakastaa kaikkea sun,3WQzjw9Ghp00EzCnz0UuYz,ABREU,0.8,0.521,1,-6.204,1,0.137,0.344,0.000471,0.159,0.723,120.958
Bandana,70tEoLFWtb6sk7OSlSAa7H,ABREU,0.74,0.762,11,-5.16,1,0.0756,0.251,6.99e-05,0.108,0.716,100.03
Kylmästä lämpimään,7rE4B853YGWod1MPAKQHMw,ABREU,0.717,0.907,5,-4.231,0,0.0509,0.18,7.03e-06,0.24,0.966,90.02
Music Everywhere,0U9qMXM2P0KtXAaGoBNQmH,ABREU,0.615,0.959,9,-4.638,1,0.115,0.149,0.0,0.467,0.68,142.005
Stereo,32Yj02lvdYeaUcDtxu4w8t,ABREU,0.553,0.891,0,-4.895,1,0.047,0.000165,0.0,0.183,0.565,124.992
End Of Love,23LXXycA1mdUutZnI1jOgg,ABREU,0.518,0.776,8,-5.356,0,0.0364,0.234,1.27e-05,0.131,0.494,83.652
Vinegar - Original Radio Mix,3AS8dkddtZNmn87X9WJTln,ABREU,0.661,0.826,9,-4.638,0,0.0304,0.00188,0.00135,0.204,0.972,125.001
Ivory Tower,62IJoIWjfyte68XLd989aT,ABREU,0.67,0.73,8,-5.78,0,0.0313,0.0747,0.0,0.37,0.785,108.024
Worst Part Is Over (feat. Redrama),3cgRZroRvUm80CpemDiqHt,ABREU,0.675,0.729,4,-5.375,0,0.178,0.182,1.74e-06,0.0885,0.735,90.033
Tuulilasin nurkkaan,2wc2eQzlnPPjqBlLAH4pTS,Kristiina Brask,0.614,0.532,6,-4.288,0,0.0237,0.268,1.85e-05,0.0838,0.4,84.959
Välitunnilla,1era8LgVvIKGlbZDtGbdrn,Katri Ylander,0.556,0.752,7,-6.519,0,0.0288,0.00957,0.000325,0.143,0.392,124.007
Onko vielä aikaa?,72GnqdyP96ga16ecs6kKuc,Katri Ylander,0.425,0.64,9,-6.365,1,0.0319,0.0755,0.0,0.0802,0.359,159.778
En koskaan,18Yps7XB1xmpW3X8Y1vqOQ,Katri Ylander,0.504,0.557,9,-6.864,1,0.0284,0.113,0.0,0.119,0.339,147.943
Valehdellaan,4AHLwKouR4vQMK15rj2l09,Katri Ylander,0.543,0.889,0,-6.926,1,0.081,0.082,2.26e-05,0.114,0.569,141.919
Jotain Niin Oikeaa,3lptv5Ztu0qRLDjqBDTDPT,Juha Tapio,0.698,0.614,7,-8.256,1,0.0262,0.121,2.32e-06,0.341,0.696,114.938
Kaksi puuta,4bigUKge5rD6igAkY7Ecpo,Juha Tapio,0.352,0.642,5,-5.722,1,0.0318,0.273,0.0,0.212,0.356,179.747
Pettävällä jäällä,5SupfKGl0Ik6JtseaxEQ0f,Juha Tapio,0.636,0.214,7,-11.715,0,0.0398,0.918,1.36e-06,0.269,0.383,103.518
Sirpa - feat. Ulpu,0BcuZ4l1uTFnf4XQio0lng,Arttu Wiskari,0.722,0.881,7,-6.659,0,0.0676,0.362,0.0,0.103,0.899,93.993
Kahvimaito,4eSmWkVsZHb9dG6eyeIN46,Arttu Wiskari,0.711,0.907,8,-4.963,0,0.0376,0.00936,0.0,0.336,0.713,116.0
3 Foot Tall,4EkXHwwBPQvd8mEdP3wOVB,Classified,0.609,0.742,11,-5.739,0,0.0989,0.25,0.0,0.641,0.523,75.892
Chained To The Rhythm,5ndfVSDyPq90jaIUhNPeby,Katy Perry,0.446,0.793,0,-5.365,1,0.156,0.089,0.0,0.211,0.47,189.891
I Got Two Phones,72ZxpfXEOPHMmqmYD0LpkR,Dj Slim D,0.632,0.583,7,-7.44,0,0.135,0.215,8.43e-06,0.409,0.184,121.764
Liikaa Sussa Kii,0MEuAbpzkCXjFu2ey5vKaD,Mikael Gabriel,0.635,0.719,4,-4.233,1,0.0325,0.102,0.0,0.159,0.465,122.945
Tumblr Girls,3S9ZWhytKUDCTUWrj0Rouo,G-Eazy,0.663,0.406,1,-9.639,1,0.187,0.104,0.00639,0.109,0.325,121.966
Empire State Of Mind,7o5ch75GlnzdIsYQQ4oKZu,JAY-Z,0.502,0.955,11,-1.533,1,0.381,0.0265,0.0,0.265,0.818,173.526
Ni**as In Paris,4Li2WHPkuyCdtmokzW2007,JAY-Z,0.789,0.858,1,-5.542,1,0.311,0.127,0.0,0.349,0.775,140.022
Numb / Encore,5sNESr6pQfIhL3krM8CtZn,JAY-Z,0.687,0.793,2,-4.254,1,0.166,0.0603,0.0,0.582,0.751,107.045
No Church In The Wild,3Osd3Yf8K73aj4ySn6LrvK,JAY-Z,0.654,0.75,8,-7.509,0,0.105,0.246,0.0178,0.167,0.557,92.78
American Oxygen,539HpTjkmnhbPn3p7mjByN,Rihanna,0.232,0.744,2,-6.227,1,0.114,0.0508,0.0,0.266,0.522,78.921
It Ain't Me (with Selena Gomez),3eR23VReFzcdmS7TYCrhCe,Kygo,0.64,0.533,0,-6.596,1,0.0706,0.119,0.0,0.0864,0.515,99.968
Äiti anna anteeks,2PcxqqlWxVnu9y3b9pWONp,Pyhimys,0.554,0.747,1,-6.73,1,0.116,0.0682,0.0,0.114,0.678,74.85
Ass Back Home (feat. Neon Hitch),3bfqkspKABT4pPicm6wC9F,Gym Class Heroes,0.716,0.838,10,-4.289,1,0.0513,0.134,0.0,0.148,0.646,130.034
Poetic Justice,3MLOAIJNWWS8FQpvdaiKR7,Kendrick Lamar,0.779,0.572,6,-9.985,0,0.378,0.157,0.0,0.246,0.647,135.956
Slippery (feat. Gucci Mane),6p8NuHm8uCGnn2Dtbtf7zE,Migos,0.92,0.675,1,-5.661,0,0.263,0.307,0.0,0.104,0.749,141.967
Sneakin’,4ckuS4Nj4FZ7i3Def3Br8W,Drake,0.806,0.558,8,-6.538,1,0.172,0.00496,1.45e-06,0.16,0.26,85.011
Me U & Hennessy (feat. Lil Wayne),4TSDz7xZtxIXeKwiOuCe25,DeJ Loaf,0.417,0.551,2,-8.361,1,0.272,0.56,0.0,0.129,0.216,86.848
Famous,3p6fkbeZDIVqapfdgQe6fm,Kanye West,0.469,0.754,6,-3.664,1,0.13,0.0679,0.0,0.106,0.421,174.068
Bad and Boujee (feat. Lil Uzi Vert),4Km5HrUvYTaSUfiSGPJeQR,Migos,0.926,0.666,11,-5.314,1,0.244,0.0611,0.0,0.123,0.168,127.079
Bounce Back,0SGkqnVQo9KPytSri1H6cF,Big Sean,0.78,0.575,1,-5.628,0,0.139,0.106,0.0,0.129,0.273,81.502
No Favors,1MksGqIztTT6M9R1ErKVs8,Big Sean,0.482,0.781,11,-5.334,1,0.411,0.629,2.87e-06,0.413,0.336,57.967
"3 on (feat. Tinashe, Drake)",267ZRvvVgsGPevJuvEGyug,ScHoolboy Q,0.797,0.569,9,-8.554,1,0.112,0.153,0.0,0.296,0.51,101.02
Birthday,109Vtt6NArbNNkDSUuFIP6,Katy Perry,0.715,0.664,11,-5.113,1,0.0702,0.0938,2.5e-06,0.116,0.839,126.063
Break Free,4E8KoNTXZnWDE3cCjjw8FU,Ariana Grande,0.686,0.692,7,-5.325,0,0.0454,0.0063,4.54e-05,0.251,0.23,129.947
Bailando - Spanish Version,4gV2hfZ6GyKDf615GDjpc8,Enrique Iglesias,0.699,0.79,7,-3.51,1,0.115,0.0501,1.81e-06,0.0309,0.959,90.922
Don't Stop,1UOOmpuCQn0uZH2QVBf5nR,5 Seconds of Summer,0.559,0.957,8,-2.933,1,0.0625,0.00359,8.13e-05,0.0476,0.896,149.944
Only One,6tBj7z0nVIKkNVOi39PU78,Aste,0.567,0.832,2,-4.337,1,0.0824,0.000726,0.0,0.0795,0.492,122.0
I Want You To Know,6izhPbUU3CeMYvTT74YHnb,Zedd,0.561,0.877,9,-2.215,0,0.0659,0.00621,8.11e-06,0.28,0.375,130.003
Thumbs,6WC5fhc9XMaCrUNKNjm9xE,Sabrina Carpenter,0.73,0.718,8,-3.496,1,0.0478,0.0284,0.0,0.0892,0.127,135.045
Believer,6VRghJeP6I0w1KxkdWFfIh,Imagine Dragons,0.77,0.787,10,-4.402,0,0.113,0.0482,0.0,0.108,0.699,125.013
"Ooh La La (from ""The Smurfs 2"")",7bpvfjoneSQvW0tbtVm1Jk,Britney Spears,0.69,0.568,6,-4.501,1,0.0525,0.0165,6.98e-06,0.111,0.728,128.059
Radar,1DtLEy4iQrVQPaBNFw8zIt,Britney Spears,0.648,0.664,4,-6.617,0,0.164,0.25,1.18e-06,0.33,0.484,127.917
Leave It All To Me (Theme from iCarly) (feat. Drake Bell),7CMIy0uwXyeBv2MvaEUJM1,Miranda Cosgrove,0.233,0.8,7,-5.543,1,0.105,0.00294,0.0,0.0594,0.564,209.767
Tämä on totta,57wQPQnNjbf6ltxfyDyefN,Laura Närhi,0.596,0.85,11,-6.317,0,0.033,0.0154,0.0157,0.318,0.48,130.078
Been On,4K0zMUoKybQpmyb9Y3y8mJ,G-Eazy,0.656,0.638,1,-7.764,0,0.331,0.0038,1.76e-05,0.106,0.224,160.216
We Winnin',4mOzCl91PC3VqkiPjerm5d,DeJ Loaf,0.694,0.506,0,-5.625,1,0.0556,0.0966,0.0,0.336,0.327,138.01
Waves,1hwSyhPlmRgiOHg7MiFXbu,Kanye West,0.571,0.573,10,-4.533,1,0.0383,0.0391,8.64e-06,0.331,0.0542,96.122
Champions,2nBI3iWLhupR7LyAJ5GGkE,Kanye West,0.692,0.774,6,-2.48,0,0.0876,0.0623,0.0,0.873,0.349,134.952
"How Far I'll Go - From ""Vaiana""",077IVIW6uv1lL78x7a3Oc3,Alessia Cara,0.309,0.544,9,-9.621,1,0.352,0.155,0.000265,0.0727,0.16,180.979
Rolex,6KBOvrddbomdb9dkarvwCl,Ayo & Teo,0.797,0.88,1,-2.534,1,0.04,0.0813,0.0,0.272,0.779,144.925
Stay (with Alessia Cara),0dA2Mk56wEzDgegdC6R17g,Zedd,0.679,0.634,5,-5.024,0,0.0654,0.232,0.0,0.115,0.498,102.013
Issues,1sXUWdKx03aP9Gmzft58rt,Julia Michaels,0.683,0.427,8,-6.827,1,0.0777,0.368,0.0,0.0604,0.426,113.634
1000 Nights,5fIq2ovEhDIyV5Hx1epC4c,FRENSHIP,0.594,0.709,6,-9.541,0,0.0377,0.0315,0.0562,0.0738,0.587,90.001
Used To Have It All,46HWwWIq2piTvm6nYmSDSY,FÄIS,0.62,0.878,5,-4.538,0,0.0436,0.156,9.17e-06,0.578,0.665,125.026
Galway Girl,0afhq8XCExXpqazXczTSve,Ed Sheeran,0.624,0.876,9,-3.374,1,0.1,0.0735,0.0,0.327,0.781,99.943
Something Just Like This,1dNIEtp7AY3oDAKCGg2XkH,The Chainsmokers,0.607,0.649,11,-6.695,0,0.0362,0.0306,2.46e-05,0.174,0.505,102.996
Despacito (Featuring Daddy Yankee),4aWmUDTfIPGksMNLV2rQP2,Luis Fonsi,0.66,0.786,2,-4.757,1,0.17,0.209,0.0,0.112,0.846,177.833
That's What I Like,0KKkJNfGyhkQ5aFogxQAPU,Bruno Mars,0.853,0.56,1,-4.961,1,0.0406,0.013,0.0,0.0944,0.86,134.066
Happier,2RttW7RAu5nOAfq6YFvApB,Ed Sheeran,0.522,0.385,0,-7.355,1,0.0288,0.536,0.0,0.135,0.236,89.792
Dive,51ChrwmUPDJvedPQnIU8Ls,Ed Sheeran,0.761,0.386,4,-6.158,1,0.0399,0.355,0.0,0.0953,0.526,134.943
New Man,5HDPtsnyb3maFmPL8LLUTG,Ed Sheeran,0.78,0.745,7,-3.97,1,0.145,0.0559,0.0,0.0595,0.862,94.026
What Do I Know?,2pJZ1v8HezrAoZ0Fhzby92,Ed Sheeran,0.838,0.492,1,-5.69,0,0.038,0.251,0.0,0.262,0.895,115.092
Slide (feat. Frank Ocean & Migos),6gpcs5eMhJwax4mIfKDYQk,Calvin Harris,0.736,0.795,1,-3.299,0,0.0545,0.498,1.21e-06,0.254,0.511,104.066
I Lived,2QAHN4C4M8D8E8eiQvQW6a,OneRepublic,0.595,0.858,9,-5.393,1,0.0446,0.0828,0.0,0.234,0.32,119.991
Wipe Your Eyes,2R3xYIBgCPatvdPRwceB3C,Maroon 5,0.605,0.916,4,-3.632,0,0.0365,0.0659,0.0,0.16,0.609,137.046
Hollywood Hills,3uht5bVvbiE54iQwtrab1e,Sunrise Avenue,0.532,0.745,0,-5.914,1,0.035,0.00615,0.0102,0.1,0.36,137.97
